SurgeryType,Vocabulary,Code
laminectomy,CPT,63144
laminectomy,CPT,62600
laminectomy,CPT,63079
laminectomy,CPT,62752
laminectomy,CPT,62920
laminectomy,CPT,62667
laminectomy,CPT,63219
laminectomy,CPT,62435
laminectomy,CPT,63060
laminectomy,CPT,62761
laminectomy,CPT,62419
laminectomy,CPT,63206
laminectomy,CPT,62477
laminectomy,CPT,62650
laminectomy,CPT,62589
laminectomy,CPT,62807
laminectomy,CPT,63145
laminectomy,CPT,62725
laminectomy,CPT,62848
laminectomy,CPT,63155
laminectomy,CPT,62459
laminectomy,CPT,62704
laminectomy,CPT,62958
laminectomy,CPT,62887
laminectomy,CPT,62598
laminectomy,CPT,62596
laminectomy,CPT,62911
laminectomy,CPT,61343
laminectomy,CPT,62561
laminectomy,CPT,63250
laminectomy,CPT,63031
laminectomy,CPT,62884
laminectomy,CPT,62461
laminectomy,CPT,63187
laminectomy,CPT,63110
laminectomy,CPT,63247
laminectomy,CPT,62942
laminectomy,CPT,62820
laminectomy,CPT,62859
laminectomy,CPT,62845
laminectomy,CPT,63238
laminectomy,CPT,63135
laminectomy,CPT,62637
laminectomy,CPT,63025
laminectomy,CPT,62935
laminectomy,CPT,63005
laminectomy,CPT,62976
laminectomy,CPT,62690
laminectomy,CPT,63055
laminectomy,CPT,62485
laminectomy,CPT,62878
laminectomy,CPT,62529
laminectomy,CPT,62903
laminectomy,CPT,63050
laminectomy,CPT,62493
laminectomy,CPT,63241
laminectomy,CPT,63072
laminectomy,CPT,63159
laminectomy,CPT,63127
laminectomy,CPT,63202
laminectomy,CPT,62434
laminectomy,CPT,63225
laminectomy,CPT,62952
laminectomy,CPT,62972
laminectomy,CPT,62423
laminectomy,CPT,62549
laminectomy,CPT,62500
laminectomy,CPT,63131
laminectomy,CPT,62499
laminectomy,CPT,S2351
laminectomy,CPT,62646
laminectomy,CPT,63129
laminectomy,CPT,62915
laminectomy,CPT,62822
laminectomy,CPT,63151
laminectomy,CPT,63181
laminectomy,CPT,63018
laminectomy,CPT,63026
laminectomy,CPT,63047
laminectomy,CPT,63105
laminectomy,CPT,63117
laminectomy,CPT,62525
laminectomy,CPT,62755
laminectomy,CPT,62970
laminectomy,CPT,63063
laminectomy,CPT,62939
laminectomy,CPT,63248
laminectomy,CPT,62855
laminectomy,CPT,62580
laminectomy,CPT,62462
laminectomy,CPT,62668
laminectomy,CPT,62480
laminectomy,CPT,62645
laminectomy,CPT,62767
laminectomy,CPT,62715
laminectomy,CPT,62788
laminectomy,CPT,62883
laminectomy,CPT,62747
laminectomy,CPT,62631
laminectomy,CPT,63073
